"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"ANT1";"GPS_ANT_SMDBAR";"GPS_ANT_SMDBAR";"1575AT43A40";"1.575 GHz GPS Antenna Johanson Technology";"712-1003-1-ND";"";"";"";"";"";"";
"ANT2";"BU-SMA-V";"BU-SMA-V";"BU-SMA-V";"FEMALE SMA CONNECTOR";"CONSMA001-ND";"";"";"unknown";"unknown";"";"";
"C1";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C2";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C3";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C4";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C5";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C6";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C7";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C8";"20pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"712-1381-1-ND";"";"";"";"";"";"";
"C9";"36pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"712-1387-1-ND";"";"";"";"";"";"";
"C10";"20pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"712-1381-1-ND";"";"";"";"";"";"";
"C11";"47uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"PCE3842CT-ND";"";"";"";"";"";"";
"C12";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C13";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C14";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C15";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C16";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"C17";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"311-1361-1-ND";"";"";"";"";"";"";
"D1";"LL4148";"LL4148";"SOD-80";"General purpose LL1448 Diode in the SOD-80 (glass tube) form factor.";"568-1749-1-ND";"";"";"";"";"";"";
"D2";"LL4148";"LL4148";"SOD-80";"General purpose LL1448 Diode in the SOD-80 (glass tube) form factor.";"568-1749-1-ND";"";"";"";"";"";"";
"D3";"LL4148";"LL4148";"SOD-80";"General purpose LL1448 Diode in the SOD-80 (glass tube) form factor.";"568-1749-1-ND";"";"";"";"";"";"";
"D4";"LED";"LED";"DIODE-1206";"Light Emitting Diode (LED) in a 1206 SMT package.";"160-1405-1-ND";"";"";"";"";"";"";
"D5";"LED";"LED";"DIODE-1206";"Light Emitting Diode (LED) in a 1206 SMT package.";"160-1169-1-ND";"";"";"";"";"";"";
"J1";"";"JST_2MM_MALE";"JST-2-SMD";"Mates to single-cell LiPo batteries.";"455-1749-1-ND";"";"";"";"";"CONN-08352";"";
"J2";"";"M06RA";"MOLEX-1X6-RA";"Header 6";"WM4304-ND";"";"";"";"";"";"";
"J3";"";"M05LOCK";"1X05_LOCK";"Header 5";"SAM1112-32-ND";"";"";"";"";"";"";
"J4";"MINI-USB-UX60A-MB-5ST";"MINI-USB-UX60A-MB-5ST";"UX60A-MB-5ST";"MINI USB Connector";"H2961CT-ND";"";"";"unknown";"unknown";"";"";
"L1";"68nH";"INDUCTOR0805";"0805";"Inductors";"535-11572-2-ND OR AISC-0805-R068G-TCT-ND";"";"";"";"";"";"";
"L2";"68nH";"INDUCTOR0805";"0805";"Inductors";"535-11572-2-ND OR AISC-0805-R068G-TCT-ND";"";"";"";"";"";"";
"Q1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23";"Generic NPN BJT";"MMBT2222AFSCT-ND";"";"";"";"";"TRANS-08049";"MMBT2222A";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-10.0KCRCT-ND";"";"";"";"";"";"";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-10.0KCRCT-ND";"";"";"";"";"";"";
"R3";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-100KCRCT-ND";"";"";"";"";"";"";
"R4";"47k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-47.0KCRCT-ND";"";"";"";"";"";"";
"R5";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-4.7KARCT-ND";"";"";"";"";"";"";
"R6";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-4.7KARCT-ND";"";"";"";"";"";"";
"R7";"4.7k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-4.7KARCT-ND";"";"";"";"";"";"";
"R8";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"311-10.0KCRCT-ND";"";"";"";"";"";"";
"SG1";"BUZZERSMD";"BUZZERSMD";"BUZZER-CMT1603";"Buzzer 12mm";"102-1193-1-ND";"";"";"";"";"";"";
"U1";"MCP1703DB";"MCP1703DB";"SOT223";"250 mA, 16V, Low Quiescent Current LDO Regulator";"MCP1703T-3302E/DBCT-ND";"";"";"";"";"";"";
"U2";"CY8C4248AZI-L485";"CY8C4248AZI-L485";"QFP64_SOT393";"";"428-3598-ND";"";"";"";"";"";"";
"U3";"UBLOX-MAX";"UBLOX-MAX";"UBLOX-MAX";"UBlox MAX-series of GPS receiver engines.";"";"";"";"";"";"";"";
"U4";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03";"MS5611-01BA03 Barometric Pressure Sensor";"223-1622-1-ND";"";"";"";"";"";"";
"U5";"EEPROM-I2CSMD";"EEPROM-I2CSMD";"SO08";"I2C EEPROM chips, 24LC256 (and others)";"24LC64F-I/SN-ND";"";"";"";"";"";"";
"U6";"DRA818V";"DRA818V";"SMD_DRA818";"DRA818V is a compact wireless voice transceiver from Dorji.";"";"";"";"";"";"";"";
"U7";"PUSBM12VX4-TL-115";"PUSBM12VX4-TL-115";"PUSBM12VX4-TL-115";"";"568-10918-1-ND";"";"";"";"";"";"";
